district,state,latitude,longitude,rainfall,river_level,soil_moisture,slope,elevation,flood_history,landslide_history,flood_risk,landslide_risk
Udaipur,Rajasthan,24.5854,73.7125,82.1,3.19,0.258,9.8,612.6,1,0,Medium,Low
Kota,Rajasthan,25.2138,75.8648,92.0,4.61,0.246,4.0,265.0,0,0,Low,Low
Ajmer,Rajasthan,26.4499,74.6399,89.0,1.97,0.275,5.5,469.4,0,0,Low,Low
Barmer,Rajasthan,25.7452,71.3942,22.8,0.49,0.086,1.7,264.2,0,0,Low,Low
Alwar,Rajasthan,27.553,76.6346,97.8,1.6,0.202,7.1,296.3,0,0,Low,Low
Mount Abu,Rajasthan,24.5926,72.7156,150.1,4.78,0.404,23.7,1309.4,0,0,Low,Low
Bhopal,Madhya Pradesh,23.2599,77.4126,135.1,5.41,0.456,1.1,577.4,1,0,Medium,Low
Indore,Madhya Pradesh,22.7196,75.8577,114.2,2.04,0.498,7.0,601.3,1,0,Medium,Low
Jabalpur,Madhya Pradesh,23.1815,79.9864,191.3,6.54,0.573,2.5,446.7,1,0,High,Low
Gwalior,Madhya Pradesh,26.2183,78.1828,102.7,2.33,0.442,4.7,203.6,0,0,Low,Low
Ujjain,Madhya Pradesh,23.1765,75.7885,127.5,4.38,0.491,0.2,494.0,0,0,Low,Low
Rewa,Madhya Pradesh,24.5362,81.2962,180.3,5.79,0.501,9.3,362.5,0,0,Medium,Low
Satna,Madhya Pradesh,24.5697,80.8317,160.3,4.07,0.53,2.7,371.6,0,0,Medium,Low
Sagar,Madhya Pradesh,23.8388,78.7378,120.4,5.05,0.448,6.3,577.6,0,0,Low,Low
Raipur,Chhattisgarh,21.2514,81.6296,219.8,4.81,0.619,1.4,291.0,0,1,Medium,Medium
Bilaspur,Chhattisgarh,22.0796,82.1409,155.0,5.53,0.529,1.4,296.8,1,0,Medium,Low
Jagdalpur,Chhattisgarh,19.0742,82.0174,190.2,5.08,0.629,8.9,571.9,0,0,Medium,Low
Ambikapur,Chhattisgarh,23.1188,83.1958,184.0,5.89,0.518,7.8,624.6,1,0,High,Low
Korba,Chhattisgarh,22.3455,82.7062,215.0,6.9,0.672,7.7,303.6,1,1,High,Medium
Durg,Chhattisgarh,21.1904,81.2849,149.1,4.08,0.691,2.0,307.3,0,0,Low,Low
Delhi,Delhi,28.6139,77.209,123.1,6.3,0.533,2.5,225.5,1,0,High,Low
Gurugram,Haryana,28.4595,77.0266,112.9,5.03,0.522,0.9,214.1,0,0,Medium,Low
Faridabad,Haryana,28.4089,77.3178,119.8,5.14,0.44,1.8,202.2,1,0,Medium,Low
Ambala,Haryana,30.3782,76.7767,141.4,6.51,0.453,1.1,281.8,1,0,Medium,Low
Hisar,Haryana,29.1509,75.7221,70.2,2.59,0.299,0.0,226.2,0,0,Low,Low
Amritsar,Punjab,31.634,74.8723,144.2,5.32,0.504,2.9,236.1,1,0,Medium,Low
Ludhiana,Punjab,30.901,75.8573,108.6,3.05,0.459,1.5,265.5,1,0,Medium,Low
Jalandhar,Punjab,31.326,75.5762,145.1,3.07,0.58,1.6,251.4,0,0,Low,Low
Patiala,Punjab,30.3398,76.3869,114.8,3.74,0.517,1.5,262.2,1,0,Medium,Low
Bathinda,Punjab,30.207,74.9455,117.8,1.23,0.293,0.5,206.9,1,0,Medium,Low
Chandigarh,Chandigarh,30.7333,76.7794,120.3,5.43,0.547,1.2,333.6,1,0,Medium,Low
Port Blair,Andaman & Nicobar,11.6234,92.7265,394.0,5.67,0.9,5.8,26.4,1,0,High,Medium
Puducherry,Puducherry,11.9416,79.8083,196.6,4.59,0.498,1.5,15.2,1,0,High,Low
